id,item,price,description,details,notes
575,Coffee Decaf Colombian,98.31,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,ligula vehicula consequat morbi,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
576,Cheese - Cream Cheese,3.68,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,et tempus semper,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
577,Sage Derby,86.07,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",etiam vel augue vestibulum,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
578,Cheese - Parmesan Cubes,47.94,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",elementum ligula vehicula consequat morbi,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
579,Calypso - Strawberry Lemonade,49.32,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",nunc proin at turpis a,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
580,Shrimp - 150 - 250,75.0,Aenean lectus.,hac habitasse platea dictumst etiam,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
581,"Turkey - Breast, Boneless Sk On",22.36,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",nibh fusce lacus purus,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
582,"Turkey - Breast, Smoked",33.36,Aliquam erat volutpat. In congue.,ante vivamus tortor duis,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
583,Carbonated Water - Raspberry,54.39,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,integer non velit donec,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
584,Onions - Cooking,45.13,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",volutpat sapien arcu sed,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
585,Wine - Rioja Campo Viejo,26.74,In quis justo. Maecenas rhoncus aliquam lacus.,nisi eu orci mauris,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
586,Extract - Almond,7.6,Morbi a ipsum.,dui vel nisl,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
587,Tomatoes - Roma,90.73,Fusce consequat. Nulla nisl. Nunc nisl.,sed lacus morbi sem,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
588,Cheese - Gorgonzola,17.25,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,cursus urna ut tellus,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
589,Lamb - Sausage Casings,62.75,In eleifend quam a odio.,venenatis tristique fusce congue diam,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
590,Bread - 10 Grain Parisian,7.12,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,erat quisque erat eros viverra,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
591,Wine - Peller Estates Late,63.19,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",justo sollicitudin ut suscipit,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
592,Sausage - Blood Pudding,15.66,Fusce consequat. Nulla nisl. Nunc nisl.,vulputate vitae nisl aenean lectus,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
593,Fruit Salad Deluxe,89.2,Ut at dolor quis odio consequat varius.,erat vestibulum sed magna,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
594,Cinnamon - Stick,62.16,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",non lectus aliquam,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
595,Oil - Canola,67.42,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",magna bibendum imperdiet nullam orci,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
596,Bread - Raisin Walnut Pull,27.12,Cras non velit nec nisi vulputate nonummy.,sollicitudin vitae consectetuer,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
597,Cinnamon - Stick,2.27,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",nunc proin at turpis,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
598,Dooleys Toffee,64.89,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",in lectus pellentesque at,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
599,Rice - Jasmine Sented,42.46,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,curabitur at ipsum,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.
600,Nori Sea Weed,84.26,Morbi non lectus.,massa donec dapibus,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
601,Bouq All Italian - Primerba,94.04,In eleifend quam a odio.,sollicitudin ut suscipit a,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
602,Slt - Individual Portions,48.85,Morbi a ipsum.,quis turpis eget,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
603,Anchovy Fillets,34.49,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",maecenas tincidunt lacus at velit,Phasellus in felis. Donec semper sapien a libero. Nam dui.
604,Cheese - Comtomme,23.05,Aenean lectus. Pellentesque eget nunc.,quam pede lobortis ligula,Sed ante. Vivamus tortor. Duis mattis egestas metus.
605,Juice - Propel Sport,21.75,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",magna ac consequat,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
606,Muffin Mix - Raisin Bran,72.11,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.",lacinia sapien quis libero nullam,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
607,Chutney Sauce - Mango,28.13,Curabitur in libero ut massa volutpat convallis.,vestibulum quam sapien varius,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
608,Anisette - Mcguiness,29.93,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",erat tortor sollicitudin mi,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
609,Beef - Ox Tongue,49.33,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",elementum in hac habitasse platea,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
610,Numi - Assorted Teas,41.14,Nunc purus.,rutrum nulla tellus in,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
611,Alize Red Passion,6.43,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,massa id nisl venenatis,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
612,Cassis,99.8,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,duis bibendum felis,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
613,Bread - Triangle White,38.28,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",eget rutrum at,Sed ante. Vivamus tortor. Duis mattis egestas metus.
614,"Flour - Corn, Fine",41.75,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",consectetuer adipiscing elit proin,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
615,Wine - Casillero Del Diablo,70.46,Phasellus in felis. Donec semper sapien a libero. Nam dui.,fusce lacus purus aliquet,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
616,Wine - Penfolds Koonuga Hill,43.28,Aenean lectus.,vivamus vel nulla eget eros,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
617,Rabbit - Whole,98.46,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,congue elementum in,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
618,Pastry - Plain Baked Croissant,90.36,Nulla tellus.,ante vestibulum ante,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
619,"Beans - Navy, Dry",87.76,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo.",pede posuere nonummy,Fusce consequat. Nulla nisl. Nunc nisl.
620,Veal - Ground,3.23,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",amet sem fusce consequat nulla,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
621,Rabbit - Frozen,58.6,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",primis in faucibus orci luctus,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
622,Cheese - Goat,65.11,Donec posuere metus vitae ipsum.,vitae nisi nam ultrices libero,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
623,"Beef - Bones, Cut - Up",90.22,Duis mattis egestas metus.,magna vulputate luctus cum,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
624,"Olives - Black, Pitted",35.81,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,pretium iaculis justo in hac,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
625,Halibut - Steaks,91.73,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,lobortis sapien sapien non mi,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
626,Oil - Grapeseed Oil,39.69,Quisque porta volutpat erat.,vestibulum rutrum rutrum neque aenean,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
627,"Cheese - Boursin, Garlic / Herbs",41.3,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",orci vehicula condimentum,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
628,Chambord Royal,75.85,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,ut massa quis,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
629,Eel Fresh,79.59,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",volutpat sapien arcu sed augue,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
630,Squid - U 5,81.47,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,cursus vestibulum proin eu mi,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
631,Noodles - Steamed Chow Mein,99.93,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",sed tristique in tempus sit,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
632,Juice - Apple Cider,6.39,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",quis augue luctus,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
